league-be1-2016;16;120;
standard0;1;0.0002;
nx0;1;0.0002;
standard2;120;0.0410;
nx2;120;0.0007;
standard+2;120;0.0433;
nx+2;120;0.0013;
standard5;4368;0.0440;
nx5;4368;0.0059;
standard+5;4368;0.0463;
nx+5;4368;0.0056;
standard10;8008;0.0453;
nx10;8008;0.0540;
standard+10;8008;0.0330;
nx+10;8008;0.0567;


moreno_seventh;29;250;
standard0;68;0.0007;
nx0;68;0.0006;
standard2;250;0.0212;
nx2;250;0.0013;
standard+2;250;0.0232;
nx+2;250;0.0013;
standard5;5317;0.0244;
nx5;5317;0.0084;
standard+5;5317;0.0239;
nx+5;5317;0.0085;
standard10;634;0.0211;
nx10;634;0.0268;
standard+10;634;0.0076;
nx+10;634;0.0279;


moreno_cattle;28;205;
standard0;111;0.0007;
nx0;111;0.0005;
standard2;205;0.0040;
nx2;205;0.0012;
standard+2;205;0.0042;
nx+2;205;0.0011;
standard5;1208;0.0043;
nx5;1208;0.0036;
standard+5;1208;0.0044;
nx+5;1208;0.0036;
standard10;0;0.0038;
nx10;0;0.0043;
standard+10;0;0.0013;
nx+10;0;0.0033;


brunson_club_membership;40;95;
standard0;95;0.0003;
nx0;95;0.0002;
standard2;95;0.0009;
nx2;95;0.0009;
standard+2;95;0.0010;
nx+2;95;0.0009;
standard5;0;0.0003;
nx5;0;0.0003;
standard+5;0;0.0003;
nx+5;0;0.0003;
standard10;0;0.0003;
nx10;0;0.0003;
standard+10;0;0.0003;
nx+10;0;0.0003;


brunson_south_africa;11;13;
standard0;13;0.0001;
nx0;13;0.0001;
standard2;13;0.0003;
nx2;13;0.0003;
standard+2;13;0.0003;
nx+2;13;0.0003;
standard5;0;0.0002;
nx5;0;0.0002;
standard+5;0;0.0002;
nx+5;0;0.0002;
standard10;0;0.0002;
nx10;0;0.0002;
standard+10;0;0.0002;
nx+10;0;0.0002;


moreno_sheep;28;235;
standard0;143;0.0009;
nx0;143;0.0007;
standard2;235;0.0115;
nx2;235;0.0012;
standard+2;235;0.0118;
nx+2;235;0.0012;
standard5;3818;0.0132;
nx5;3818;0.0087;
standard+5;3818;0.0136;
nx+5;3818;0.0069;
standard10;69;0.0113;
nx10;69;0.0139;
standard+10;69;0.0033;
nx+10;69;0.0132;


moreno_vdb;32;422;
standard0;41;0.0007;
nx0;41;0.0006;
standard2;422;12.4605;
nx2;422;0.0019;
standard+2;422;13.9509;
nx+2;422;0.0019;
standard5;74029;12.9145;
nx5;74029;0.0821;
standard+5;74029;13.2665;
nx+5;74029;0.0809;
standard10;2667028;15.2775;
nx10;2667028;8.1713;
standard+10;2667028;14.9286;
nx+10;2667028;8.2833;


league-uk1-2013;20;190;
standard0;1;0.0005;
nx0;1;0.0002;
standard2;190;0.7276;
nx2;190;0.0010;
standard+2;190;0.7701;
nx+2;190;0.0011;
standard5;15504;0.7174;
nx5;15504;0.0155;
standard+5;15504;0.7509;
nx+5;15504;0.0160;
standard10;184756;0.8358;
nx10;184756;0.6360;
standard+10;184756;0.7812;
nx+10;184756;0.6562;


dolphins;62;159;
standard0;84;0.0010;
nx0;84;0.0004;
standard2;159;0.0013;
nx2;159;0.0012;
standard+2;159;0.0014;
nx+2;159;0.0012;
standard5;3;0.0012;
nx5;3;0.0010;
standard+5;3;0.0010;
nx+5;3;0.0010;
standard10;0;0.0003;
nx10;0;0.0003;
standard+10;0;0.0003;
nx+10;0;0.0003;


ucidata-zachary;34;78;
standard0;36;0.0005;
nx0;36;0.0002;
standard2;78;0.0008;
nx2;78;0.0008;
standard+2;78;0.0008;
nx+2;78;0.0007;
standard5;2;0.0005;
nx5;2;0.0005;
standard+5;2;0.0005;
nx+5;2;0.0005;
standard10;0;0.0003;
nx10;0;0.0004;
standard+10;0;0.0003;
nx+10;0;0.0003;


ucidata-gama;16;58;
standard0;24;0.0003;
nx0;24;0.0001;
standard2;58;0.0007;
nx2;58;0.0006;
standard+2;58;0.0007;
nx+2;58;0.0006;
standard5;3;0.0006;
nx5;3;0.0006;
standard+5;3;0.0006;
nx+5;3;0.0007;
standard10;0;0.0002;
nx10;0;0.0002;
standard+10;0;0.0002;
nx+10;0;0.0002;


moreno_highschool;70;274;
standard0;101;0.0008;
nx0;101;0.0006;
standard2;274;0.0021;
nx2;274;0.0016;
standard+2;274;0.0022;
nx+2;274;0.0017;
standard5;37;0.0019;
nx5;37;0.0020;
standard+5;37;0.0018;
nx+5;37;0.0020;
standard10;0;0.0004;
nx10;0;0.0004;
standard+10;0;0.0004;
nx+10;0;0.0004;


moreno_hens;32;496;
standard0;1;0.0011;
nx0;1;0.0005;
standard2;0;120;
nx2;496;0.0042;
standard+2;0;120;
nx+2;496;0.0020;
standard5;0;120;
nx5;201376;0.2020;
standard+5;0;120;
nx+5;201376;0.2114;
standard10;0;120;
nx10;0;120;
standard+10;0;120;
nx+2;0;120;


opsahl_southern_women;32;89;
standard0;89;0.0007;
nx0;89;0.0002;
standard2;89;0.0008;
nx2;89;0.0009;
standard+2;89;0.0016;
nx+2;89;0.0009;
standard5;0;0.0007;
nx5;0;0.0007;
standard+5;0;0.0007;
nx+5;0;0.0007;
standard10;0;0.0003;
nx10;0;0.0003;
standard+10;0;0.0003;
nx+10;0;0.0003;


league-fr1-2016;20;190;
standard0;1;0.0005;
nx0;1;0.0002;
standard2;190;0.7367;
nx2;190;0.0010;
standard+2;190;0.7356;
nx+2;190;0.0010;
standard5;15504;0.7030;
nx5;15504;0.0157;
standard+5;15504;0.7377;
nx+5;15504;0.0157;
standard10;184756;0.8455;
nx10;184756;0.6248;
standard+10;184756;0.7913;
nx+10;184756;0.6480;


brunson_corporate_leadership;44;99;
standard0;99;0.0007;
nx0;99;0.0003;
standard2;99;0.0009;
nx2;99;0.0009;
standard+2;99;0.0009;
nx+2;99;0.0010;
standard5;0;0.0003;
nx5;0;0.0003;
standard+5;0;0.0003;
nx+5;0;0.0003;
standard10;0;0.0003;
nx10;0;0.0003;
standard+10;0;0.0004;
nx+10;0;0.0003;


mit;96;2539;
standard0;5124;0.0615;
nx0;5124;0.0498;
standard2;0;120;
nx2;2539;0.0123;
standard+2;0;120;
nx+2;2539;0.0113;
standard5;0;120;
nx5;2401007;2.8428;
standard+5;0;120;
nx+5;2401007;2.8720;
standard10;0;120;
nx10;0;120;
standard+10;0;120;
nx+2;0;120;


moreno_sampson;18;126;
standard0;23;0.0009;
nx0;23;0.0004;
standard2;126;0.0079;
nx2;126;0.0008;
standard+2;126;0.0060;
nx+2;126;0.0008;
standard5;1768;0.0062;
nx5;1768;0.0032;
standard+5;1768;0.0067;
nx+5;1768;0.0033;
standard10;29;0.0054;
nx10;29;0.0067;
standard+10;29;0.0017;
nx+10;29;0.0067;


moreno_les_miserables;77;254;
standard0;59;0.0007;
nx0;59;0.0005;
standard2;254;0.0035;
nx2;254;0.0017;
standard+2;254;0.0034;
nx+2;254;0.0016;
standard5;644;0.0031;
nx5;644;0.0025;
standard+5;644;0.0031;
nx+5;644;0.0026;
standard10;2;0.0017;
nx10;2;0.0021;
standard+10;2;0.0007;
nx+10;2;0.0020;


contiguous_usa;49;107;
standard0;60;0.0004;
nx0;60;0.0003;
standard2;107;0.0010;
nx2;107;0.0009;
standard+2;107;0.0010;
nx+2;107;0.0009;
standard5;0;0.0003;
nx5;0;0.0003;
standard+5;0;0.0003;
nx+5;0;0.0003;
standard10;0;0.0003;
nx10;0;0.0004;
standard+10;0;0.0003;
nx+10;0;0.0003;


league-de1-2016;18;153;
standard0;1;0.0002;
nx0;1;0.0002;
standard2;153;0.1797;
nx2;153;0.0008;
standard+2;153;0.1906;
nx+2;153;0.0008;
standard5;8568;0.1803;
nx5;8568;0.0096;
standard+5;8568;0.1912;
nx+5;8568;0.0092;
standard10;43758;0.2006;
nx10;43758;0.1893;
standard+10;43758;0.1675;
nx+10;43758;0.1950;


moreno_bison;26;222;
standard0;41;0.0005;
nx0;41;0.0004;
standard2;222;0.0353;
nx2;222;0.0011;
standard+2;222;0.0368;
nx+2;222;0.0011;
standard5;6233;0.0379;
nx5;6233;0.0086;
standard+5;6233;0.0397;
nx+5;6233;0.0090;
standard10;3207;0.0376;
nx10;3207;0.0448;
standard+10;3207;0.0182;
nx+10;3207;0.0492;


moreno_rhesus;16;69;
standard0;25;0.0002;
nx0;25;0.0001;
standard2;69;0.0008;
nx2;69;0.0006;
standard+2;69;0.0009;
nx+2;69;0.0006;
standard5;65;0.0008;
nx5;65;0.0008;
standard+5;65;0.0008;
nx+5;65;0.0008;
standard10;0;0.0003;
nx10;0;0.0003;
standard+10;0;0.0002;
nx+10;0;0.0003;


moreno_train;64;243;
standard0;43;0.0005;
nx0;43;0.0004;
standard2;243;0.0046;
nx2;243;0.0015;
standard+2;243;0.0047;
nx+2;243;0.0016;
standard5;1140;0.0050;
nx5;1140;0.0032;
standard+5;1140;0.0050;
nx+5;1140;0.0031;
standard10;22;0.0034;
nx10;22;0.0040;
standard+10;22;0.0012;
nx+10;22;0.0040;


brunson_southern_women;10;14;
standard0;14;0.0001;
nx0;14;0.0001;
standard2;14;0.0003;
nx2;14;0.0003;
standard+2;14;0.0003;
nx+2;14;0.0003;
standard5;0;0.0002;
nx5;0;0.0002;
standard+5;0;0.0002;
nx+5;0;0.0002;
standard10;0;0.0002;
nx10;0;0.0002;
standard+10;0;0.0002;
nx+10;0;0.0002;


moreno_taro;22;39;
standard0;23;0.0001;
nx0;23;0.0001;
standard2;39;0.0005;
nx2;39;0.0005;
standard+2;39;0.0006;
nx+2;39;0.0005;
standard5;0;0.0002;
nx5;0;0.0002;
standard+5;0;0.0002;
nx+5;0;0.0003;
standard10;0;0.0002;
nx10;0;0.0002;
standard+10;0;0.0002;
nx+10;0;0.0002;


moreno_zebra;27;111;
standard0;19;0.0003;
nx0;19;0.0003;
standard2;111;0.0034;
nx2;111;0.0008;
standard+2;111;0.0034;
nx+2;111;0.0008;
standard5;974;0.0034;
nx5;974;0.0020;
standard+5;974;0.0035;
nx+5;974;0.0020;
standard10;8;0.0032;
nx10;8;0.0038;
standard+10;8;0.0009;
nx+10;8;0.0038;


moreno_beach;43;336;
standard0;100;0.0010;
nx0;100;0.0009;
standard2;336;0.0075;
nx2;336;0.0017;
standard+2;336;0.0078;
nx+2;336;0.0017;
standard5;2108;0.0084;
nx5;2108;0.0065;
standard+5;2108;0.0088;
nx+5;2108;0.0062;
standard10;0;0.0063;
nx10;0;0.0071;
standard+10;0;0.0024;
nx+10;0;0.0057;


moreno_kangaroo;17;91;
standard0;10;0.0001;
nx0;10;0.0001;
standard2;91;0.0025;
nx2;91;0.0007;
standard+2;91;0.0025;
nx+2;91;0.0007;
standard5;728;0.0027;
nx5;728;0.0018;
standard+5;728;0.0028;
nx+5;728;0.0017;
standard10;2;0.0021;
nx10;2;0.0023;
standard+10;2;0.0009;
nx+10;2;0.0023;


moreno_macaques;62;1167;
standard0;5628;0.0342;
nx0;5628;0.0275;
standard2;1167;0.7696;
nx2;1167;0.0050;
standard+2;1167;0.7770;
nx+2;1167;0.0050;
standard5;117120;0.7790;
nx5;117120;0.1601;
standard+5;117120;0.8118;
nx+5;117120;0.1593;
standard10;32168;0.7422;
nx10;32168;0.9506;
standard+10;32168;0.3682;
nx+10;32168;0.9833;


subelj_euroroad;1174;1417;
standard0;1356;0.0052;
nx0;1356;0.0035;
standard2;1417;0.0141;
nx2;1417;0.0136;
standard+2;1417;0.0144;
nx+2;1417;0.0128;
standard5;0;0.0024;
nx5;0;0.0026;
standard+5;0;0.0027;
nx+5;0;0.0026;
standard10;0;0.0026;
nx10;0;0.0026;
standard+10;0;0.0026;
nx+10;0;0.0025;


moreno_blogs_undirected;1224;16715;
standard0;49618;0.4122;
nx0;49618;0.3656;
standard2;16715;91.6026;
nx2;16715;0.0846;
standard+2;16715;95.6240;
nx+2;16715;0.0907;
standard5;1377655;91.6362;
nx5;1377655;2.2156;
standard+5;1377655;91.1154;
nx+5;1377655;2.3422;
standard10;19484447;105.7196;
nx10;19484447;85.7527;
standard+10;19484447;101.7983;
nx+10;19484447;88.2987;


arenas-email;1133;5451;
standard0;3267;0.0214;
nx0;3267;0.0168;
standard2;5451;0.0487;
nx2;5451;0.0305;
standard+2;5451;0.0469;
nx+2;5451;0.0322;
standard5;2063;0.0421;
nx5;2063;0.0342;
standard+5;2063;0.0399;
nx+5;2063;0.0351;
standard10;66;0.0226;
nx10;66;0.0233;
standard+10;66;0.0143;
nx+10;66;0.0208;


maayan_pdzbase;212;242;
standard0;240;0.0009;
nx0;240;0.0006;
standard2;242;0.0026;
nx2;242;0.0025;
standard+2;242;0.0027;
nx+2;242;0.0024;
standard5;0;0.0006;
nx5;0;0.0006;
standard+5;0;0.0006;
nx+5;0;0.0007;
standard10;0;0.0006;
nx10;0;0.0006;
standard+10;0;0.0006;
nx+10;0;0.0007;


radoslaw_email;167;3250;
standard0;7143;0.0640;
nx0;7143;0.0532;
standard2;0;120;
nx2;3250;0.0141;
standard+2;0;120;
nx+2;3250;0.0150;
standard5;0;120;
nx5;1256776;1.6760;
standard+5;0;120;
nx+5;1256776;1.5978;
standard10;0;120;
nx10;0;120;
standard+10;0;120;
nx+2;0;120;


unicodelang;868;1255;
standard0;1255;0.0054;
nx0;1255;0.0032;
standard2;1255;0.0120;
nx2;1255;0.0113;
standard+2;1255;0.0122;
nx+2;1255;0.0113;
standard5;0;0.0035;
nx5;0;0.0035;
standard+5;0;0.0034;
nx+5;0;0.0034;
standard10;0;0.0025;
nx10;0;0.0026;
standard+10;0;0.0025;
nx+10;0;0.0025;


maayan_foodweb_undirected;183;2434;
standard0;3130;0.0152;
nx0;3130;0.0119;
standard2;2434;0.5264;
nx2;2434;0.0109;
standard+2;2434;0.5550;
nx+2;2434;0.0107;
standard5;81413;0.5372;
nx5;81413;0.1124;
standard+5;81413;0.5823;
nx+5;81413;0.1164;
standard10;49659;0.5498;
nx10;49659;0.7258;
standard+10;49659;0.2848;
nx+10;49659;0.7438;


sociopatterns_infectious;410;2765;
standard0;1247;0.0122;
nx0;1247;0.0099;
standard2;2765;0.1508;
nx2;2765;0.0137;
standard+2;2765;0.1632;
nx+2;2765;0.0136;
standard5;23175;0.1657;
nx5;23175;0.0489;
standard+5;23175;0.1676;
nx+5;23175;0.0482;
standard10;14406;0.1533;
nx10;14406;0.1772;
standard+10;14406;0.0835;
nx+10;14406;0.1750;


moreno_oz;217;1839;
standard0;939;0.0076;
nx0;939;0.0062;
standard2;1839;0.0191;
nx2;1839;0.0092;
standard+2;1839;0.0194;
nx+2;1839;0.0090;
standard5;2393;0.0183;
nx5;2393;0.0169;
standard+5;2393;0.0186;
nx+5;2393;0.0170;
standard10;3;0.0158;
nx10;3;0.0176;
standard+10;3;0.0091;
nx+10;3;0.0132;


arenas_jazz;198;2742;
standard0;746;0.0151;
nx0;746;0.0133;
standard2;0;120;
nx2;2742;0.0129;
standard+2;0;120;
nx+2;2742;0.0122;
standard5;0;120;
nx5;273697;0.3546;
standard+5;0;120;
nx+5;273697;0.3650;
standard10;0;120;
nx10;30456581;74.2987;
standard+10;0;120;
nx+10;30456581;78.3378;


foodweb_baydry;253;2137;
standard0;2137;0.0051;
nx0;2137;0.0035;
standard2;2137;0.0124;
nx2;2137;0.0109;
standard+2;2137;0.0124;
nx+2;2137;0.0110;
standard5;0;0.0108;
nx5;0;0.0104;
standard+5;0;0.0113;
nx+5;0;0.0103;
standard10;0;0.0100;
nx10;0;0.0095;
standard+10;0;0.0101;
nx+10;0;0.0095;


foodweb_baywet_undirected;128;2075;
standard0;3534;0.0125;
nx0;3534;0.0094;
standard2;2075;0.0432;
nx2;2075;0.0088;
standard+2;2075;0.0427;
nx+2;2075;0.0096;
standard5;12177;0.0484;
nx5;12177;0.0377;
standard+5;12177;0.0481;
nx+5;12177;0.0385;
standard10;0;0.0415;
nx10;0;0.0419;
standard+10;0;0.0260;
nx+10;0;0.0387;


adjnoun_adjacency;112;425;
standard0;303;0.0011;
nx0;303;0.0008;
standard2;425;0.0029;
nx2;425;0.0024;
standard+2;425;0.0030;
nx+2;425;0.0026;
standard5;3;0.0025;
nx5;3;0.0024;
standard+5;3;0.0024;
nx+5;3;0.0024;
standard10;0;0.0005;
nx10;0;0.0005;
standard+10;0;0.0005;
nx+10;0;0.0006;


moreno_innovation;241;923;
standard0;494;0.0034;
nx0;494;0.0020;
standard2;923;0.0069;
nx2;923;0.0055;
standard+2;923;0.0071;
nx+2;923;0.0054;
standard5;50;0.0061;
nx5;50;0.0058;
standard+5;50;0.0058;
nx+5;50;0.0059;
standard10;0;0.0009;
nx10;0;0.0009;
standard+10;0;0.0009;
nx+10;0;0.0009;


sociopatterns_hypertext;113;2196;
standard0;5347;0.0351;
nx0;5347;0.0296;
standard2;2196;1.7653;
nx2;2196;0.0096;
standard+2;2196;1.8281;
nx+2;2196;0.0097;
standard5;185782;1.9504;
nx5;185782;0.2678;
standard+5;185782;1.9172;
nx+5;185782;0.2683;
standard10;190340;1.8727;
nx10;190340;2.2965;
standard+10;190340;1.3022;
nx+10;190340;2.3470;


contact;274;2124;
standard0;246;0.0061;
nx0;246;0.0055;
standard2;0;120;
nx2;2124;0.0102;
standard+2;0;120;
nx+2;2124;0.0111;
standard5;0;120;
nx5;1514746;1.6645;
standard+5;0;120;
nx+5;1514746;1.6876;
standard10;0;120;
nx10;0;120;
standard+10;0;120;
nx+2;0;120;


brunson_revolution;141;160;
standard0;160;0.0010;
nx0;160;0.0004;
standard2;160;0.0017;
nx2;160;0.0039;
standard+2;160;0.0028;
nx+2;160;0.0017;
standard5;0;0.0005;
nx5;0;0.0005;
standard+5;0;0.0008;
nx+5;0;0.0005;
standard10;0;0.0005;
nx10;0;0.0005;
standard+10;0;0.0005;
nx+10;0;0.0005;


